ALV;AIR LIQUIDE ELECTRONICS MATERIALS (ZHANGJIAGANG) CO.,LTD;JIANG SU PROVINCE;China
ALX;AIRLIFE GASES PRIVATE LIMITED;Pune, Maharastra;India
ALZ;AIR LIQUIDE NEW ZEALAND;Auckland;New Zealand
AMA;ALIANÇA EQUIQ. CONTÊINERES  MANAUS LTDA;Manaus;Brazil
AMC;CMA-CGM;MARSEILLE CEDEX 02;France
AME;ACE CRANES & ENGINEERING FZ-LLC;Al Hamra Al Jazirah;United Arab Emirates
AMF;TEXTAINER EQUIPMENT MANAGEMENT LTD;HAMILTON, HM HX;Bermuda
AMG;AMGAS SERVICES INC;Rocky View;Canada
AMH;AMITIS DENIZCILIK ULUSLARARASI LOJISTIIK MAKINE SANAYI VE TICARET LIMITED ŞIRKETI;Ankara;Turkey
AMI;AMLF LOGISTICS PVT LTD;NAVI MUMBAI;India
AMK;LLC AMTEC;Moscow;Russian Federation
AMM;AMMANN ITALY SPA;BUSSOLENGO VERONA;Italy
AMN;AMEER ALBEHAR SHIPPING L.L.C;DUBAI;United Arab Emirates
AMO;AMOMATIC OY;Paimio;Finland
AMP;AVISA MARITIME PTE LTD;Singapore;Singapore
AMS;AMASIS SHIPPING COMPANY LIMITED;Ho Chi Minh;Vietnam
AMU;LLC AMETIST;St Petersburg;Russian Federation
AMW;ANSA MCAL CHEMICALS LIMITED;COUVA;Trinidad and Tobago
AMX;AUTAMAROCCHI S.P.A;TRIESTE;Italy
AMZ;TEXTAINER EQUIPMENT MANAGEMENT LTD;HAMILTON, HM HX;Bermuda
ANC;ANCHORAGE SHIPPING LINE LLC;Dubai;United Arab Emirates
ANE;ANSALDO ENERGIA SPA;GENOVA;Italy
ANH;ANHALT LOGISTICS GMBH & CO KG;BARGEN;Germany
ANK;ALIEN LOGISTICS SOLUTIONS OÜ;Tallinn;Estonia
ANN;CMA-CGM;MARSEILLE CEDEX 02;France
ANY;ONE WAY LEASE INC.;OAKLAND, CA-94607;United States
AOC;INNOSPEC LIMITED;CHESHIRE, CH65 4EY;United Kingdom
AON;LG ENERGY SOLUTIONS VERTECH;WESTBOROUGH, MA-01582;United States
AOR;OEG OFFSHORE GROUP LIMITED;Singapore;Singapore
AOS;ALPHA OMEGA CONTAINER LINE PTE LTD;Singapore;Singapore
APA;APR ENERGY LLC;Jacksonville, FL 32246;United States
APE;ALSHIRAWI EQUIPMENT CO LLC;DUBAI;United Arab Emirates
APH;CMA-CGM;MARSEILLE CEDEX 02;France
APL;CMA-CGM;MARSEILLE CEDEX 02;France
APM;MAERSK A/S;Copenhagen;Denmark
APN;AQUA PHARMA AS;LILLEHAMMER;Norway
APR;CMA-CGM;MARSEILLE CEDEX 02;France
APS;ALTORFER POWER SYSTEMS, INC;BARTONVILLE, IL-61607;United States
APT;AIR PRODUCTS (SOUTH AFRICA);Kempton Park;South Africa
APV;SUN FLUORO SYSTEM CO LTD;OSAKA;Japan
APZ;CMA-CGM;MARSEILLE CEDEX 02;France
AQI;AQUAM INSULA PTE LTD;Lautoka;Fiji
ARA;ARA F&D;GYEONGSANG-NAMDO;Korea, Republic of
ARC;SUNMARINE SHIPPING SERVICES LLC;DUBAI;United Arab Emirates
ARD;CARU CONTAINERS BV;ROTTERDAM;Netherlands
ARF;DSV - SLI;San Fernando de Henares, Madrid;Spain
ARG;MAXIMA AIR SEPARATION CENTER LTD;ASHDOD;Israel
ARK;ARKAS SHIPPING AND TRANSPORT SA;Istanbul;Turkey
ARM;ADAPTAINER LTD;IPSWICH SUFFOLK IP4 1JX;United Kingdom
ARP;EQUIPOS MOVILES DE CAMPANA ARPA S.A.U.;ZARAGOZA;Spain
ARS;ATC LLC;Vladivostok;Russian Federation
ART;CARU CONTAINERS BV;ROTTERDAM;Netherlands
ARX;ARMS SRL;Genova;Italy
ASA;ASASLINE;Bruxelles;Belgium
ASC;ABS- CONTAINERS BV;Rotterdam;Netherlands
ASD;PRIVATE ENTREPRENEUR VYISLANKO TATIANA PETROVNA;PETROPAVLOVSK KAMCHATSKLY;Russian Federation
ASI;CCIS FRANCE;MARSEILLE;France
ASL;ALLIGATOR SHIPPING CONTAINER LINE LLC;ABU DHABI;United Arab Emirates
ASM;ALPAS SERVIS LTD;Pskov;Russian Federation
ASN;ALISAN ULUSLARARASI TASIMACILIK VE TICARET AS;ATASEHIR,  ISTANBUL;Turkey
ASP;NORDBØ HOLDING AS;Østetås;Norway
ASR;ARMED FORCES OF THE SLOVAK REPUBLIC;BRATISLAVA;Slovakia
ASS;SOCIETA AUTOTRASPORTI SPECIALI S.P.A;CASTELMASSA (RO);Italy
AST;ALMALY TK;Astana;Kazakhstan
ASU;ALCOSUISSE;RÜTI B. BÜREN;Switzerland
ATA;AMATO TRANSPORTS AFFRETEMENT;FOS SUR MER;France
ATB;A-TAINER & SERVICE;HAMBURG;Germany
ATC;ALLSEAS ENGINEERING BV c/o BLUE MARINE OFFSHORE YARD SERVICE B.V.;DELFT;Netherlands
ATH;QUANZHOU ANTONG LOGISTICS CO., LTD.;QuanZhou;China
ATK;ACTIVE TANK SDN. BHD.;Shah Alam;Malaysia
ATL;ALBATROSS TANK LEASING B.V.;Moerdijk;Netherlands
ATM;ATOM ULUSLARARASI NAKLİYAT VE LOJİSTİK HİZMETLERİ A.Ş.;Izmır;Turkey
ATN;ANELTIA TRADING, S.L.U.;Zaragoza;Spain
ATO;ARKEMA;COLOMBES;France
ATR;ANELTRANS PIATKIEWICZ SP. K.;Sklamierzyce;Poland
ATS;ANSTO;Kirrawee DC;Australia
ATV;PEACOCK CONTAINER BV;ROTTERDAM;Netherlands
ATX;ANDERSON TRUCKING SERVICES;St. Cloud, MN 56301;United States
AUG;QUEHENBERGER LOGISTICS GMBH;STRASSWALCHEN;Austria
AUR;AURORA CONTAINERS LIMITED;HONG KONG;Hong Kong, China
AUS;SPECTAINER SINGAPORE PTE LTD.;Singapore;Singapore
AUT;AUSTAINER PTY LTD;Lytton;Australia
AVC;AMVAC CHEMICAL COPORATION;AXIS, AL-36505;United States
AVG;POLAR STAR LTD;St.Petersburg;Russian Federation
AVH;ATOMSPECTRANS JSC;MOSCOW;Russian Federation
AVN;AVANA LOGISTEK LIMITED;Mumbai;India
AVR;SIA ALPA VAGONS;RIGA;Latvia
AVS;REC ADVANCED SILICON MATERIALS LLC;SILVER BOW, MT 59750;United States
AWE;AWE PLC;Reading;United Kingdom
AWI;ALFRED-WEGENER-INSTITUT HELMHOLTZ-ZENTRUM FUR POLAR;BREMERHAVEN;Germany
AWO;OY WOIKOSKI AB;VOIKOSKI;Finland
AWS;AW SHIP MANAGEMENT LTD;LONDON E1 8PY;United Kingdom
AWV;AIR WATER VIETNAM CO LTD;BA RIA - VUNG TAU PROVINCE;Vietnam
AWX;ALASKA WEST EXPRESS INC.;FAIRBANKS, AK 99701;United States
AXB;AXCESS BOX MOBILE STORAGE INC;Abbotsford;Canada
AXE;ASEAN SEAS LINE CO LIMITED;Shanghai;China
